ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,FNS31383,31383.TXT,0.53840,0.03635,0.06810,4

ROUGE-L+StopWordRemoval,FNS31022,31022.TXT,0.76624,0.22581,0.34882,3

ROUGE-1+StopWordRemoval,FNS31022,31022.TXT,0.73651,0.12782,0.21783,3

ROUGE-2+StopWordRemoval,FNS31022,31022.TXT,0.51548,0.07710,0.13413,3

ROUGE-SU4+StopWordRemoval,FNS31022,31022.TXT,0.56340,0.07403,0.13087,3

ROUGE-L+StopWordRemoval,FNS30858,30858.TXT,0.81726,0.17378,0.28662,4

ROUGE-1+StopWordRemoval,FNS30858,30858.TXT,0.78723,0.10048,0.17821,4

ROUGE-2+StopWordRemoval,FNS30858,30858.TXT,0.54479,0.05973,0.10766,4

ROUGE-SU4+StopWordRemoval,FNS30858,30858.TXT,0.60268,0.05705,0.10423,4

ROUGE-L+StopWordRemoval,FNS30856,30856.TXT,0.83111,0.22112,0.34930,3

ROUGE-1+StopWordRemoval,FNS30856,30856.TXT,0.85045,0.11307,0.19960,3

ROUGE-2+StopWordRemoval,FNS30856,30856.TXT,0.62012,0.07367,0.13169,3

ROUGE-SU4+StopWordRemoval,FNS30856,30856.TXT,0.67994,0.07027,0.12737,3

ROUGE-L+StopWordRemoval,FNS30808 (1),30808 (1).TXT,NaN,NaN,0.00000,0

ROUGE-1+StopWordRemoval,FNS30808 (1),30808 (1).TXT,NaN,NaN,0.00000,0

ROUGE-2+StopWordRemoval,FNS30808 (1),30808 (1).TXT,NaN,NaN,0.00000,0

ROUGE-SU4+StopWordRemoval,FNS30808 (1),30808 (1).TXT,NaN,NaN,0.00000,0

ROUGE-L+StopWordRemoval,FNS30855,30855.TXT,0.82292,0.20082,0.32285,3

ROUGE-1+StopWordRemoval,FNS30855,30855.TXT,0.77974,0.09140,0.16363,3

ROUGE-2+StopWordRemoval,FNS30855,30855.TXT,0.55522,0.05586,0.10151,3

ROUGE-SU4+StopWordRemoval,FNS30855,30855.TXT,0.60539,0.05195,0.09569,3

ROUGE-L+StopWordRemoval,FNS31824,31824.TXT,0.80491,0.12660,0.21878,3

ROUGE-1+StopWordRemoval,FNS31824,31824.TXT,0.74998,0.04539,0.08561,3

ROUGE-2+StopWordRemoval,FNS31824,31824.TXT,0.50725,0.02675,0.05081,3

ROUGE-SU4+StopWordRemoval,FNS31824,31824.TXT,0.57006,0.02493,0.04778,3

ROUGE-L+StopWordRemoval,FNS31705,31705.TXT,0.79859,0.11742,0.20474,4

ROUGE-1+StopWordRemoval,FNS31705,31705.TXT,0.76235,0.04384,0.08291,4

ROUGE-2+StopWordRemoval,FNS31705,31705.TXT,0.56904,0.02467,0.04730,4

ROUGE-SU4+StopWordRemoval,FNS31705,31705.TXT,0.63215,0.02111,0.04086,4

ROUGE-L+StopWordRemoval,FNS31948,31948.TXT,0.80701,0.15857,0.26505,3

ROUGE-1+StopWordRemoval,FNS31948,31948.TXT,0.81989,0.06943,0.12802,3

ROUGE-2+StopWordRemoval,FNS31948,31948.TXT,0.60435,0.04129,0.07729,3

ROUGE-SU4+StopWordRemoval,FNS31948,31948.TXT,0.66225,0.03870,0.07313,3

ROUGE-L+StopWordRemoval,FNS31828,31828.TXT,0.79643,0.14860,0.25047,3

ROUGE-1+StopWordRemoval,FNS31828,31828.TXT,0.78159,0.06647,0.12252,3

ROUGE-2+StopWordRemoval,FNS31828,31828.TXT,0.57657,0.04220,0.07865,3

ROUGE-SU4+StopWordRemoval,FNS31828,31828.TXT,0.62968,0.03918,0.07378,3

ROUGE-L+StopWordRemoval,FNS31034,31034.TXT,0.85867,0.18911,0.30996,3

ROUGE-1+StopWordRemoval,FNS31034,31034.TXT,0.84395,0.08203,0.14952,3

ROUGE-2+StopWordRemoval,FNS31034,31034.TXT,0.67021,0.05447,0.10075,3

ROUGE-SU4+StopWordRemoval,FNS31034,31034.TXT,0.71012,0.04927,0.09214,3

ROUGE-L+StopWordRemoval,FNS31277,31277.TXT,0.83066,0.17919,0.29479,3

ROUGE-1+StopWordRemoval,FNS31277,31277.TXT,0.88071,0.08140,0.14903,3

ROUGE-2+StopWordRemoval,FNS31277,31277.TXT,0.69184,0.05251,0.09762,3

ROUGE-SU4+StopWordRemoval,FNS31277,31277.TXT,0.73921,0.04560,0.08591,3

ROUGE-L+StopWordRemoval,FNS31036,31036.TXT,0.82306,0.19276,0.31236,3

ROUGE-1+StopWordRemoval,FNS31036,31036.TXT,0.85842,0.10225,0.18273,3

ROUGE-2+StopWordRemoval,FNS31036,31036.TXT,0.64207,0.06106,0.11152,3

ROUGE-SU4+StopWordRemoval,FNS31036,31036.TXT,0.71517,0.05394,0.10032,3

ROUGE-L+StopWordRemoval,FNS31399,31399.TXT,0.71512,0.17670,0.28338,3

ROUGE-1+StopWordRemoval,FNS31399,31399.TXT,0.78486,0.11636,0.20268,3

ROUGE-2+StopWordRemoval,FNS31399,31399.TXT,0.57475,0.06968,0.12429,3

ROUGE-SU4+StopWordRemoval,FNS31399,31399.TXT,0.63256,0.06690,0.12100,3

ROUGE-L+StopWordRemoval,FNS32004,32004.TXT,0.79004,0.13155,0.22555,4

ROUGE-1+StopWordRemoval,FNS32004,32004.TXT,0.58410,0.06042,0.10951,4

ROUGE-2+StopWordRemoval,FNS32004,32004.TXT,0.37127,0.03344,0.06136,4

ROUGE-SU4+StopWordRemoval,FNS32004,32004.TXT,0.42347,0.03083,0.05747,4

ROUGE-L+StopWordRemoval,FNS31950,31950.TXT,0.71235,0.13433,0.22604,5

ROUGE-1+StopWordRemoval,FNS31950,31950.TXT,0.75189,0.06143,0.11358,5

ROUGE-2+StopWordRemoval,FNS31950,31950.TXT,0.49546,0.03377,0.06323,5

ROUGE-SU4+StopWordRemoval,FNS31950,31950.TXT,0.57538,0.03300,0.06243,5

ROUGE-L+StopWordRemoval,FNS31037,31037.TXT,0.73276,0.16432,0.26844,4

ROUGE-1+StopWordRemoval,FNS31037,31037.TXT,0.68461,0.07156,0.12958,4

ROUGE-2+StopWordRemoval,FNS31037,31037.TXT,0.45853,0.04032,0.07412,4

ROUGE-SU4+StopWordRemoval,FNS31037,31037.TXT,0.51503,0.03802,0.07081,4

ROUGE-L+StopWordRemoval,FNS30982,30982.TXT,0.74192,0.12665,0.21637,3

ROUGE-1+StopWordRemoval,FNS30982,30982.TXT,0.73862,0.04394,0.08295,3

ROUGE-2+StopWordRemoval,FNS30982,30982.TXT,0.44407,0.02299,0.04372,3

ROUGE-SU4+StopWordRemoval,FNS30982,30982.TXT,0.51238,0.02309,0.04420,3

ROUGE-L+StopWordRemoval,FNS32248,32248.TXT,0.41810,0.07141,0.12198,3

ROUGE-1+StopWordRemoval,FNS32248,32248.TXT,0.68014,0.13410,0.22402,3

ROUGE-2+StopWordRemoval,FNS32248,32248.TXT,0.51978,0.09676,0.16315,3

ROUGE-SU4+StopWordRemoval,FNS32248,32248.TXT,0.56456,0.09916,0.16868,3

ROUGE-L+StopWordRemoval,FNS31038,31038.TXT,0.76281,0.15030,0.25112,4

ROUGE-1+StopWordRemoval,FNS31038,31038.TXT,0.72172,0.07347,0.13337,4

ROUGE-2+StopWordRemoval,FNS31038,31038.TXT,0.48478,0.04453,0.08157,4

ROUGE-SU4+StopWordRemoval,FNS31038,31038.TXT,0.54437,0.04280,0.07936,4

ROUGE-L+StopWordRemoval,FNS31831,31831.TXT,0.74469,0.15951,0.26275,4

ROUGE-1+StopWordRemoval,FNS31831,31831.TXT,0.71934,0.07649,0.13827,4

ROUGE-2+StopWordRemoval,FNS31831,31831.TXT,0.51302,0.04682,0.08581,4

ROUGE-SU4+StopWordRemoval,FNS31831,31831.TXT,0.56103,0.04400,0.08160,4

ROUGE-L+StopWordRemoval,FNS32129,32129.TXT,0.73004,0.15161,0.25108,4

ROUGE-1+StopWordRemoval,FNS32129,32129.TXT,0.67339,0.07943,0.14211,4

ROUGE-2+StopWordRemoval,FNS32129,32129.TXT,0.45513,0.04184,0.07664,4

ROUGE-SU4+StopWordRemoval,FNS32129,32129.TXT,0.52104,0.03680,0.06875,4

ROUGE-L+StopWordRemoval,FNS32480,32480.TXT,0.77162,0.08584,0.15449,4

ROUGE-1+StopWordRemoval,FNS32480,32480.TXT,0.74421,0.02720,0.05248,4

ROUGE-2+StopWordRemoval,FNS32480,32480.TXT,0.49380,0.01624,0.03145,4

ROUGE-SU4+StopWordRemoval,FNS32480,32480.TXT,0.57010,0.01550,0.03019,4

ROUGE-L+StopWordRemoval,FNS31271,31271.TXT,0.74619,0.16819,0.27450,3

ROUGE-1+StopWordRemoval,FNS31271,31271.TXT,0.80409,0.07015,0.12904,3

ROUGE-2+StopWordRemoval,FNS31271,31271.TXT,0.48040,0.03860,0.07146,3

ROUGE-SU4+StopWordRemoval,FNS31271,31271.TXT,0.56470,0.03876,0.07254,3

ROUGE-L+StopWordRemoval,FNS32482,32482.TXT,0.77848,0.13330,0.22762,3

ROUGE-1+StopWordRemoval,FNS32482,32482.TXT,0.81298,0.05374,0.10081,3

ROUGE-2+StopWordRemoval,FNS32482,32482.TXT,0.57809,0.03581,0.06745,3

ROUGE-SU4+StopWordRemoval,FNS32482,32482.TXT,0.61608,0.03623,0.06843,3

ROUGE-L+StopWordRemoval,FNS31031,31031.TXT,0.77422,0.14496,0.24419,5

ROUGE-1+StopWordRemoval,FNS31031,31031.TXT,0.77738,0.07330,0.13397,5

ROUGE-2+StopWordRemoval,FNS31031,31031.TXT,0.54581,0.04254,0.07893,5

ROUGE-SU4+StopWordRemoval,FNS31031,31031.TXT,0.60226,0.03780,0.07113,5

ROUGE-L+StopWordRemoval,FNS31274,31274.TXT,0.76199,0.16889,0.27650,3

ROUGE-1+StopWordRemoval,FNS31274,31274.TXT,0.86174,0.07853,0.14395,3

ROUGE-2+StopWordRemoval,FNS31274,31274.TXT,0.57756,0.04630,0.08573,3

ROUGE-SU4+StopWordRemoval,FNS31274,31274.TXT,0.64597,0.04546,0.08494,3

ROUGE-L+StopWordRemoval,FNS31033,31033.TXT,0.82475,0.19254,0.31220,3

ROUGE-1+StopWordRemoval,FNS31033,31033.TXT,0.82543,0.09650,0.17280,3

ROUGE-2+StopWordRemoval,FNS31033,31033.TXT,0.61008,0.05910,0.10776,3

ROUGE-SU4+StopWordRemoval,FNS31033,31033.TXT,0.68554,0.05213,0.09690,3

ROUGE-L+StopWordRemoval,FNS30866,30866.TXT,0.81839,0.17247,0.28490,4

ROUGE-1+StopWordRemoval,FNS30866,30866.TXT,0.72663,0.08745,0.15612,4

ROUGE-2+StopWordRemoval,FNS30866,30866.TXT,0.54935,0.05598,0.10161,4

ROUGE-SU4+StopWordRemoval,FNS30866,30866.TXT,0.59330,0.05100,0.09393,4

ROUGE-L+StopWordRemoval,FNS31955,31955.TXT,0.79293,0.13122,0.22518,3

ROUGE-1+StopWordRemoval,FNS31955,31955.TXT,0.77602,0.05100,0.09572,3

ROUGE-2+StopWordRemoval,FNS31955,31955.TXT,0.50640,0.02709,0.05142,3

ROUGE-SU4+StopWordRemoval,FNS31955,31955.TXT,0.58490,0.02495,0.04786,3

ROUGE-L+StopWordRemoval,FNS31834,31834.TXT,0.79811,0.10710,0.18886,3

ROUGE-1+StopWordRemoval,FNS31834,31834.TXT,0.77836,0.03399,0.06513,3

ROUGE-2+StopWordRemoval,FNS31834,31834.TXT,0.52435,0.01812,0.03503,3

ROUGE-SU4+StopWordRemoval,FNS31834,31834.TXT,0.59683,0.01629,0.03171,3

ROUGE-L+StopWordRemoval,FNS32926,32926.TXT,0.75751,0.12852,0.21975,3

ROUGE-1+StopWordRemoval,FNS32926,32926.TXT,0.75491,0.06107,0.11299,3

ROUGE-2+StopWordRemoval,FNS32926,32926.TXT,0.49282,0.03060,0.05762,3

ROUGE-SU4+StopWordRemoval,FNS32926,32926.TXT,0.58991,0.02804,0.05354,3

ROUGE-L+StopWordRemoval,FNS31959,31959.TXT,0.82028,0.12231,0.21287,4

ROUGE-1+StopWordRemoval,FNS31959,31959.TXT,0.83694,0.03783,0.07239,4

ROUGE-2+StopWordRemoval,FNS31959,31959.TXT,0.61460,0.02273,0.04383,4

ROUGE-SU4+StopWordRemoval,FNS31959,31959.TXT,0.68156,0.02106,0.04086,4

ROUGE-L+StopWordRemoval,FNS31839,31839.TXT,0.76752,0.17341,0.28290,3

ROUGE-1+StopWordRemoval,FNS31839,31839.TXT,0.84323,0.10127,0.18082,3

ROUGE-2+StopWordRemoval,FNS31839,31839.TXT,0.55127,0.05683,0.10305,3

ROUGE-SU4+StopWordRemoval,FNS31839,31839.TXT,0.64256,0.05301,0.09793,3

ROUGE-L+StopWordRemoval,FNS32809,32809.TXT,0.73659,0.19374,0.30679,3

ROUGE-1+StopWordRemoval,FNS32809,32809.TXT,0.82350,0.11109,0.19577,3

ROUGE-2+StopWordRemoval,FNS32809,32809.TXT,0.62420,0.06681,0.12071,3

ROUGE-SU4+StopWordRemoval,FNS32809,32809.TXT,0.67490,0.06194,0.11347,3

ROUGE-L+StopWordRemoval,FNS32333,32333.TXT,0.77413,0.06612,0.12184,3

ROUGE-1+StopWordRemoval,FNS32333,32333.TXT,0.62968,0.02057,0.03985,3

ROUGE-2+StopWordRemoval,FNS32333,32333.TXT,0.43223,0.01193,0.02322,3

ROUGE-SU4+StopWordRemoval,FNS32333,32333.TXT,0.47010,0.01053,0.02059,3

ROUGE-L+StopWordRemoval,FNS31005,31005.TXT,0.77982,0.14550,0.24525,5

ROUGE-1+StopWordRemoval,FNS31005,31005.TXT,0.72679,0.06804,0.12443,5

ROUGE-2+StopWordRemoval,FNS31005,31005.TXT,0.49868,0.03932,0.07290,5

ROUGE-SU4+StopWordRemoval,FNS31005,31005.TXT,0.54538,0.03676,0.06888,5

ROUGE-L+StopWordRemoval,FNS30950,30950.TXT,0.77731,0.14890,0.24993,3

ROUGE-1+StopWordRemoval,FNS30950,30950.TXT,0.75109,0.06494,0.11955,3

ROUGE-2+StopWordRemoval,FNS30950,30950.TXT,0.50098,0.03960,0.07340,3

ROUGE-SU4+StopWordRemoval,FNS30950,30950.TXT,0.55047,0.03849,0.07194,3

ROUGE-L+StopWordRemoval,FNS31127,31127.TXT,0.78459,0.15938,0.26494,3

ROUGE-1+StopWordRemoval,FNS31127,31127.TXT,0.81945,0.07870,0.14361,3

ROUGE-2+StopWordRemoval,FNS31127,31127.TXT,0.59120,0.04781,0.08846,3

ROUGE-SU4+StopWordRemoval,FNS31127,31127.TXT,0.64251,0.04447,0.08318,3

ROUGE-L+StopWordRemoval,FNS30952,30952.TXT,0.71649,0.11591,0.19955,4

ROUGE-1+StopWordRemoval,FNS30952,30952.TXT,0.66861,0.04335,0.08142,4

ROUGE-2+StopWordRemoval,FNS30952,30952.TXT,0.43870,0.02470,0.04677,4

ROUGE-SU4+StopWordRemoval,FNS30952,30952.TXT,0.50462,0.02438,0.04651,4

ROUGE-L+StopWordRemoval,FNS31007,31007.TXT,0.82083,0.19398,0.31380,3

ROUGE-1+StopWordRemoval,FNS31007,31007.TXT,0.76500,0.09819,0.17405,3

ROUGE-2+StopWordRemoval,FNS31007,31007.TXT,0.53714,0.06115,0.10980,3

ROUGE-SU4+StopWordRemoval,FNS31007,31007.TXT,0.58355,0.05812,0.10572,3

ROUGE-L+StopWordRemoval,FNS32217,32217.TXT,0.80065,0.12461,0.21565,4

ROUGE-1+StopWordRemoval,FNS32217,32217.TXT,0.79251,0.04879,0.09192,4

ROUGE-2+StopWordRemoval,FNS32217,32217.TXT,0.57638,0.02865,0.05459,4

ROUGE-SU4+StopWordRemoval,FNS32217,32217.TXT,0.64635,0.02499,0.04812,4

ROUGE-L+StopWordRemoval,FNS31008,31008.TXT,0.80202,0.18475,0.30032,3

ROUGE-1+StopWordRemoval,FNS31008,31008.TXT,0.82815,0.09986,0.17823,3

ROUGE-2+StopWordRemoval,FNS31008,31008.TXT,0.57234,0.06018,0.10892,3

ROUGE-SU4+StopWordRemoval,FNS31008,31008.TXT,0.62716,0.05803,0.10622,3

ROUGE-L+StopWordRemoval,FNS30830,30830.TXT,0.78600,0.11098,0.19450,4

ROUGE-1+StopWordRemoval,FNS30830,30830.TXT,0.76115,0.04095,0.07772,4

ROUGE-2+StopWordRemoval,FNS30830,30830.TXT,0.52756,0.02458,0.04698,4

ROUGE-SU4+StopWordRemoval,FNS30830,30830.TXT,0.59038,0.02360,0.04539,4

ROUGE-L+StopWordRemoval,FNS32693,32693.TXT,0.82244,0.12690,0.21987,5

ROUGE-1+StopWordRemoval,FNS32693,32693.TXT,0.78649,0.05311,0.09951,5

ROUGE-2+StopWordRemoval,FNS32693,32693.TXT,0.61191,0.03229,0.06134,5

ROUGE-SU4+StopWordRemoval,FNS32693,32693.TXT,0.67140,0.02814,0.05402,5

ROUGE-L+StopWordRemoval,FNS31242,31242.TXT,0.80175,0.15444,0.25899,3

ROUGE-1+StopWordRemoval,FNS31242,31242.TXT,0.73760,0.06443,0.11850,3

ROUGE-2+StopWordRemoval,FNS31242,31242.TXT,0.53164,0.04151,0.07701,3

ROUGE-SU4+StopWordRemoval,FNS31242,31242.TXT,0.57521,0.04110,0.07672,3

ROUGE-L+StopWordRemoval,FNS31363,31363.TXT,0.72147,0.19637,0.30871,3

ROUGE-1+StopWordRemoval,FNS31363,31363.TXT,0.72154,0.09318,0.16505,3

ROUGE-2+StopWordRemoval,FNS31363,31363.TXT,0.44439,0.05071,0.09103,3

ROUGE-SU4+StopWordRemoval,FNS31363,31363.TXT,0.51349,0.04957,0.09041,3

ROUGE-L+StopWordRemoval,FNS32452,32452.TXT,0.74166,0.17081,0.27767,4

ROUGE-1+StopWordRemoval,FNS32452,32452.TXT,0.80688,0.08120,0.14756,4

ROUGE-2+StopWordRemoval,FNS32452,32452.TXT,0.57615,0.04730,0.08742,4

ROUGE-SU4+StopWordRemoval,FNS32452,32452.TXT,0.63607,0.04559,0.08508,4

ROUGE-L+StopWordRemoval,FNS31484,31484.TXT,0.82643,0.14014,0.23964,4

ROUGE-1+StopWordRemoval,FNS31484,31484.TXT,0.78674,0.07137,0.13087,4

ROUGE-2+StopWordRemoval,FNS31484,31484.TXT,0.59373,0.04180,0.07811,4

ROUGE-SU4+StopWordRemoval,FNS31484,31484.TXT,0.64674,0.03970,0.07481,4

ROUGE-L+StopWordRemoval,FNS30838,30838.TXT,0.75884,0.17942,0.29022,3

ROUGE-1+StopWordRemoval,FNS30838,30838.TXT,0.82925,0.06332,0.11766,3

ROUGE-2+StopWordRemoval,FNS30838,30838.TXT,0.62499,0.03923,0.07383,3

ROUGE-SU4+StopWordRemoval,FNS30838,30838.TXT,0.67651,0.03509,0.06672,3

ROUGE-L+StopWordRemoval,FNS30954,30954.TXT,0.84859,0.13086,0.22676,3

ROUGE-1+StopWordRemoval,FNS30954,30954.TXT,0.85517,0.04892,0.09255,3

ROUGE-2+StopWordRemoval,FNS30954,30954.TXT,0.64294,0.02986,0.05707,3

ROUGE-SU4+StopWordRemoval,FNS30954,30954.TXT,0.69998,0.02626,0.05062,3

ROUGE-L+StopWordRemoval,FNS31926,31926.TXT,0.72082,0.19552,0.30760,4

ROUGE-1+StopWordRemoval,FNS31926,31926.TXT,0.71510,0.09638,0.16987,4

ROUGE-2+StopWordRemoval,FNS31926,31926.TXT,0.46539,0.05698,0.10153,4

ROUGE-SU4+StopWordRemoval,FNS31926,31926.TXT,0.53551,0.05463,0.09915,4

ROUGE-L+StopWordRemoval,FNS31254,31254.TXT,0.75687,0.16397,0.26955,4

ROUGE-1+StopWordRemoval,FNS31254,31254.TXT,0.73680,0.08040,0.14497,4

ROUGE-2+StopWordRemoval,FNS31254,31254.TXT,0.48106,0.04516,0.08257,4

ROUGE-SU4+StopWordRemoval,FNS31254,31254.TXT,0.54140,0.04275,0.07924,4

ROUGE-L+StopWordRemoval,FNS32343,32343.TXT,0.84249,0.14418,0.24623,4

ROUGE-1+StopWordRemoval,FNS32343,32343.TXT,0.73491,0.06796,0.12441,4

ROUGE-2+StopWordRemoval,FNS32343,32343.TXT,0.55664,0.04061,0.07569,4

ROUGE-SU4+StopWordRemoval,FNS32343,32343.TXT,0.61027,0.03552,0.06713,4

ROUGE-L+StopWordRemoval,FNS31012,31012.TXT,0.77583,0.15784,0.26232,3

ROUGE-1+StopWordRemoval,FNS31012,31012.TXT,0.82341,0.09666,0.17301,3

ROUGE-2+StopWordRemoval,FNS31012,31012.TXT,0.61304,0.06138,0.11159,3

ROUGE-SU4+StopWordRemoval,FNS31012,31012.TXT,0.66353,0.05652,0.10417,3

ROUGE-L+StopWordRemoval,FNS31013,31013.TXT,0.80462,0.11162,0.19604,3

ROUGE-1+StopWordRemoval,FNS31013,31013.TXT,0.74455,0.04595,0.08657,3

ROUGE-2+StopWordRemoval,FNS31013,31013.TXT,0.49163,0.02505,0.04766,3

ROUGE-SU4+StopWordRemoval,FNS31013,31013.TXT,0.55153,0.02310,0.04434,3

ROUGE-L+StopWordRemoval,FNS32223,32223.TXT,0.86699,0.24864,0.38646,3

ROUGE-1+StopWordRemoval,FNS32223,32223.TXT,0.83926,0.11356,0.20005,3

ROUGE-2+StopWordRemoval,FNS32223,32223.TXT,0.63515,0.07235,0.12989,3

ROUGE-SU4+StopWordRemoval,FNS32223,32223.TXT,0.67877,0.06344,0.11603,3

ROUGE-L+StopWordRemoval,FNS32345,32345.TXT,0.76844,0.16700,0.27437,4

ROUGE-1+StopWordRemoval,FNS32345,32345.TXT,0.79797,0.07923,0.14416,4

ROUGE-2+StopWordRemoval,FNS32345,32345.TXT,0.56252,0.04591,0.08489,4

ROUGE-SU4+StopWordRemoval,FNS32345,32345.TXT,0.64480,0.04160,0.07816,4

ROUGE-L+StopWordRemoval,FNS31014,31014.TXT,0.79100,0.13478,0.23032,3

ROUGE-1+StopWordRemoval,FNS31014,31014.TXT,0.71623,0.06065,0.11184,3

ROUGE-2+StopWordRemoval,FNS31014,31014.TXT,0.49263,0.03734,0.06943,3

ROUGE-SU4+StopWordRemoval,FNS31014,31014.TXT,0.56051,0.03601,0.06767,3

ROUGE-L+StopWordRemoval,FNS30960,30960.TXT,0.82648,0.16615,0.27668,3

ROUGE-1+StopWordRemoval,FNS30960,30960.TXT,0.85254,0.06442,0.11979,3

ROUGE-2+StopWordRemoval,FNS30960,30960.TXT,0.63124,0.03994,0.07513,3

ROUGE-SU4+StopWordRemoval,FNS30960,30960.TXT,0.68590,0.03611,0.06861,3

ROUGE-L+StopWordRemoval,FNS31015,31015.TXT,0.81014,0.16705,0.27699,4

ROUGE-1+StopWordRemoval,FNS31015,31015.TXT,0.74051,0.08372,0.15043,4

ROUGE-2+StopWordRemoval,FNS31015,31015.TXT,0.54117,0.05218,0.09519,4

ROUGE-SU4+StopWordRemoval,FNS31015,31015.TXT,0.57462,0.04890,0.09012,4

ROUGE-L+StopWordRemoval,FNS30962,30962.TXT,0.71864,0.17336,0.27933,3

ROUGE-1+StopWordRemoval,FNS30962,30962.TXT,0.75624,0.12099,0.20861,3

ROUGE-2+StopWordRemoval,FNS30962,30962.TXT,0.47608,0.06498,0.11435,3

ROUGE-SU4+StopWordRemoval,FNS30962,30962.TXT,0.59053,0.05915,0.10754,3

ROUGE-L+StopWordRemoval,FNS32349,32349.TXT,0.77635,0.11253,0.19656,4

ROUGE-1+StopWordRemoval,FNS32349,32349.TXT,0.74995,0.04016,0.07624,4

ROUGE-2+StopWordRemoval,FNS32349,32349.TXT,0.56780,0.02598,0.04969,4

ROUGE-SU4+StopWordRemoval,FNS32349,32349.TXT,0.62328,0.02374,0.04573,4

ROUGE-L+StopWordRemoval,FNS32107,32107.TXT,0.77988,0.18101,0.29382,3

ROUGE-1+StopWordRemoval,FNS32107,32107.TXT,0.71471,0.08926,0.15869,3

ROUGE-2+StopWordRemoval,FNS32107,32107.TXT,0.45967,0.04584,0.08337,3

ROUGE-SU4+StopWordRemoval,FNS32107,32107.TXT,0.51889,0.04086,0.07576,3

ROUGE-L+StopWordRemoval,FNS31811,31811.TXT,0.71893,0.13724,0.23048,4

ROUGE-1+StopWordRemoval,FNS31811,31811.TXT,0.74950,0.05690,0.10577,4

ROUGE-2+StopWordRemoval,FNS31811,31811.TXT,0.51067,0.03090,0.05828,4

ROUGE-SU4+StopWordRemoval,FNS31811,31811.TXT,0.56971,0.02754,0.05255,4

ROUGE-L+StopWordRemoval,FNS32229,32229.TXT,0.76827,0.12549,0.21574,4

ROUGE-1+StopWordRemoval,FNS32229,32229.TXT,0.61560,0.04589,0.08542,4

ROUGE-2+StopWordRemoval,FNS32229,32229.TXT,0.39860,0.02557,0.04806,4

ROUGE-SU4+StopWordRemoval,FNS32229,32229.TXT,0.45331,0.02534,0.04800,4

ROUGE-L+StopWordRemoval,FNS30841,30841.TXT,0.84151,0.19839,0.32109,4

ROUGE-1+StopWordRemoval,FNS30841,30841.TXT,0.79182,0.09758,0.17375,4

ROUGE-2+StopWordRemoval,FNS30841,30841.TXT,0.59565,0.05796,0.10564,4

ROUGE-SU4+StopWordRemoval,FNS30841,30841.TXT,0.65061,0.04999,0.09284,4

ROUGE-L+StopWordRemoval,FNS31492,31492.TXT,0.75064,0.14246,0.23947,4

ROUGE-1+StopWordRemoval,FNS31492,31492.TXT,0.72114,0.07220,0.13126,4

ROUGE-2+StopWordRemoval,FNS31492,31492.TXT,0.47088,0.04105,0.07552,4

ROUGE-SU4+StopWordRemoval,FNS31492,31492.TXT,0.53221,0.04044,0.07517,4

ROUGE-L+StopWordRemoval,FNS32340,32340.TXT,0.81213,0.22100,0.34744,3

ROUGE-1+StopWordRemoval,FNS32340,32340.TXT,0.80564,0.11430,0.20019,3

ROUGE-2+StopWordRemoval,FNS32340,32340.TXT,0.62176,0.07505,0.13393,3

ROUGE-SU4+StopWordRemoval,FNS32340,32340.TXT,0.66871,0.06665,0.12121,3

ROUGE-L+StopWordRemoval,FNS32583,32583.TXT,0.76971,0.15882,0.26331,3

ROUGE-1+StopWordRemoval,FNS32583,32583.TXT,0.74247,0.09418,0.16715,3

ROUGE-2+StopWordRemoval,FNS32583,32583.TXT,0.51229,0.05814,0.10443,3

ROUGE-SU4+StopWordRemoval,FNS32583,32583.TXT,0.56031,0.05595,0.10174,3

ROUGE-L+StopWordRemoval,FNS32220,32220.TXT,0.77850,0.15498,0.25849,3

ROUGE-1+StopWordRemoval,FNS32220,32220.TXT,0.67345,0.06940,0.12583,3

ROUGE-2+StopWordRemoval,FNS32220,32220.TXT,0.48234,0.04228,0.07774,3

ROUGE-SU4+StopWordRemoval,FNS32220,32220.TXT,0.53661,0.03752,0.07014,3

ROUGE-L+StopWordRemoval,FNS30849,30849.TXT,0.74714,0.11960,0.20619,4

ROUGE-1+StopWordRemoval,FNS30849,30849.TXT,0.66732,0.05069,0.09422,4

ROUGE-2+StopWordRemoval,FNS30849,30849.TXT,0.41679,0.02740,0.05142,4

ROUGE-SU4+StopWordRemoval,FNS30849,30849.TXT,0.48541,0.02578,0.04897,4

ROUGE-L+StopWordRemoval,FNS30965,30965.TXT,0.78352,0.16768,0.27624,5

ROUGE-1+StopWordRemoval,FNS30965,30965.TXT,0.75504,0.08595,0.15434,5

