ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS31846,31846.TXT,0.87280,0.14718,0.25189,3

ROUGE-1+StopWordRemoval,FNS31846,31846.TXT,0.84470,0.06443,0.11973,3

ROUGE-2+StopWordRemoval,FNS31846,31846.TXT,0.62586,0.03879,0.07304,3

ROUGE-SU4+StopWordRemoval,FNS31846,31846.TXT,0.68270,0.03270,0.06242,3

ROUGE-L+StopWordRemoval,FNS32936,32936.TXT,0.76109,0.15885,0.26284,4

ROUGE-1+StopWordRemoval,FNS32936,32936.TXT,0.72324,0.08020,0.14439,4

ROUGE-2+StopWordRemoval,FNS32936,32936.TXT,0.47105,0.04345,0.07957,4

ROUGE-SU4+StopWordRemoval,FNS32936,32936.TXT,0.54191,0.04018,0.07481,4

ROUGE-L+StopWordRemoval,FNS31969,31969.TXT,0.85587,0.14726,0.25129,3

ROUGE-1+StopWordRemoval,FNS31969,31969.TXT,0.90783,0.06385,0.11932,3

ROUGE-2+StopWordRemoval,FNS31969,31969.TXT,0.69359,0.04239,0.07990,3

ROUGE-SU4+StopWordRemoval,FNS31969,31969.TXT,0.73042,0.03954,0.07503,3

ROUGE-L+StopWordRemoval,FNS32939,32939.TXT,0.84589,0.10779,0.19121,3

ROUGE-1+StopWordRemoval,FNS32939,32939.TXT,0.62150,0.04905,0.09092,3

ROUGE-2+StopWordRemoval,FNS32939,32939.TXT,0.45835,0.02828,0.05328,3

ROUGE-SU4+StopWordRemoval,FNS32939,32939.TXT,0.50292,0.02400,0.04582,3

ROUGE-L+StopWordRemoval,FNS31608,31608.TXT,0.82568,0.13718,0.23528,4

ROUGE-1+StopWordRemoval,FNS31608,31608.TXT,0.73460,0.06155,0.11358,4

ROUGE-2+StopWordRemoval,FNS31608,31608.TXT,0.53687,0.03640,0.06817,4

ROUGE-SU4+StopWordRemoval,FNS31608,31608.TXT,0.58347,0.03162,0.05999,4

ROUGE-L+StopWordRemoval,FNS31970,31970.TXT,0.83611,0.15040,0.25494,3

ROUGE-1+StopWordRemoval,FNS31970,31970.TXT,0.77101,0.08558,0.15406,3

ROUGE-2+StopWordRemoval,FNS31970,31970.TXT,0.54297,0.04933,0.09045,3

ROUGE-SU4+StopWordRemoval,FNS31970,31970.TXT,0.60905,0.04312,0.08054,3

ROUGE-L+StopWordRemoval,FNS32025,32025.TXT,0.80955,0.13166,0.22649,4

ROUGE-1+StopWordRemoval,FNS32025,32025.TXT,0.75064,0.03979,0.07557,4

ROUGE-2+StopWordRemoval,FNS32025,32025.TXT,0.56402,0.02485,0.04761,4

ROUGE-SU4+StopWordRemoval,FNS32025,32025.TXT,0.59716,0.02209,0.04261,4

ROUGE-L+StopWordRemoval,FNS31850,31850.TXT,0.82135,0.12488,0.21679,4

ROUGE-1+StopWordRemoval,FNS31850,31850.TXT,0.79227,0.04888,0.09208,4

ROUGE-2+StopWordRemoval,FNS31850,31850.TXT,0.59023,0.02852,0.05441,4

ROUGE-SU4+StopWordRemoval,FNS31850,31850.TXT,0.65197,0.02584,0.04971,4

ROUGE-L+StopWordRemoval,FNS32389,32389.TXT,0.80660,0.14614,0.24745,3

ROUGE-1+StopWordRemoval,FNS32389,32389.TXT,0.84313,0.06373,0.11850,3

ROUGE-2+StopWordRemoval,FNS32389,32389.TXT,0.56605,0.03707,0.06959,3

